Year,IIP_index,cop( $/bbl ),ex.rate(INR=X),COP( ?/bbl ),M3(? Crore),CPI,IR %,new iip base 2020,log(cop),log(m3),log(iip),^NSEI,log(NSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-25,,69.61,88.16699982,6137.304857,"2,84,76,856.42",197.2,1.597114889,,8.722140976,17.16460226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-25,151.7,69.11,87.71459961,6062.20417,"2,82,90,468.56",197,2.125453603,130.6069737,8.709828737,17.15803551,5.021904886,24426.84961,10.1034382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-25,156.2,70.95,85.45529938,6063.053491,"2,81,41,286.47",196.1,1.695794223,134.4812742,8.709968829,17.15274833,5.051137237,24768.34961,10.11732189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-25,153.3,69.77,85.51560211,5966.423559,"2,79,34,546.09",194.2,2.172883674,131.9845028,8.693902958,17.14537469,5.032396786,25517.05078,10.14710217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-25,157.6,64.04,85.17079926,5454.512111,"2,77,66,361.21",193,2.905891762,135.6866121,8.604198455,17.13933582,5.060060177,24750.69922,10.11660902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-25,151.8,67.725,85.5388031,5793.110866,"2,77,82,866.33",192.6,3.19884263,130.6930693,8.664424709,17.13993007,5.022563865,24334.19922,10.09963802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-25,166.3,72.46660625,87.32700348,6328.291576,"2,71,07,341.19",192,3.381434417,143.1769264,8.752785586,17.11531514,5.113793386,23519.34961,10.06557875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-25,151.1,77.32856688,86.64700317,6700.288579,"2,68,81,060.52",192.5,3.645076186,130.0904003,8.809905876,17.10693253,5.017941869,22124.69922,10.00444988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-25,161.6,80.1961975,85.78659821,6879.758973,"2,66,47,844.12",193.4,4.298117888,139.1304348,8.836338897,17.09821881,5.085124146,23508.40039,10.0651131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-24,158,73.33684688,84.56189728,6201.502912,"2,65,22,265.54",195.4,5.263157895,136.0309944,8.732546947,17.09349515,5.062595033,23644.80078,10.07089853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
