Year,IIP(base 2020),cop (Yen/kl ),cop (yen/bbl),M3 (100 million yen),M3 (yen),CPI,IR %,log(iip),log(COP),log(M3),^N225 (yen),log(TSE)
Aug-25,89.9,"66,962","10,646",16200850,1.62009E+15,112.1 ,2.749770852,4.498697941,9.27294971,35.02125501,42718.46875,10.66238663
Jul-25,107.4,"65,386","10,396",16190652,1.61907E+15,112.0 ,3.130755064,4.676560182,9.249132584,35.02062534,41069.82031,10.62302883
Jun-25,103.7,"63,702","10,128",16155603,1.61556E+15,111.9 ,3.228782288,4.641502115,9.223040375,35.01845823,40487.39063,10.60874586
May-25,95,"68,250","10,851",16141814,1.61418E+15,111.8 ,3.518518519,4.553876892,9.292001849,35.01760435,37965.10156,10.54442264
Apr-25,101,"73,526","11,690",16140987,1.6141E+15,111.4 ,3.531598513,4.615120517,9.366463501,35.01755312,36045.37891,10.49253395
Mar-25,111.1,"74,783","11,890",16029070,1.60291E+15,111.3 ,3.631284916,4.710430697,9.383415002,35.01059525,35617.55859,10.48059401
Feb-25,97.3,"78,205","12,434",16033407,1.60334E+15,111.0 ,3.641456583,4.577798989,9.428158,35.01086578,37155.5,10.52286709
Jan-25,94.4,"75,743","12,042",16107730,1.61077E+15,111.1 ,4.026217228,4.547541073,9.396170446,35.01549058,39572.48828,10.58588942
Dec-24,104.1,"73,427","11,674",16097395,1.60974E+15,110.6 ,3.655107779,4.645351976,9.365116131,35.01484876,39894.53906,10.59399473
Nov-24,103.4,"75,194","11,955",16058938,1.60589E+15,109.9 ,2.902621723,4.638604962,9.388895856,35.01245688,38208.03125,10.55080101
Oct-24,107.2,"73,598","11,701",16013877,1.60139E+15,109.4 ,2.242990654,4.674696249,9.367442267,35.00964696,39081.25,10.57339809
Sep-24,103.6,"75,195","11,955",16034743,1.60347E+15,109.0 ,2.539981185,4.64053733,9.388909155,35.01094911,37919.55078,10.54322211
Aug-24,91.4,"82,709","13,150",16074101,1.60741E+15,109.1 ,3.021718602,4.515245478,9.484152839,35.01340065,38647.75,10.56224384
Jul-24,107.8,"88,440","14,061",16101589,1.61016E+15,108.6 ,2.743614002,4.680277658,9.551148771,35.01510926,39101.82031,10.5739243
Jun-24,99.3,"86,628","13,773",16094805,1.60948E+15,108.4 ,2.943969611,4.598145571,9.530447504,35.01468785,39583.07813,10.58615699
May-24,97.3,"86,953","13,824",16105928,1.61059E+15,108.0 ,2.759276879,4.577798989,9.534192158,35.0153787,38487.89844,10.55809914
Apr-24,100.5,"81,876","13,017",16125677,1.61257E+15,107.6 ,2.476190476,4.610157727,9.474030323,35.01660415,38405.66016,10.55596013
Mar-24,110,"78,092","12,416",15972247,1.59722E+15,107.4 ,2.775119617,4.700480366,9.426712034,35.00704396,40369.44141,10.60582838
Feb-24,97.2,"78,007","12,402",15928651,1.59287E+15,107.1 ,2.783109405,4.576770711,9.425622982,35.00431074,39166.19141,10.57556919
Jan-24,92.4,"77,710","12,355",15981678,1.59817E+15,106.8 ,2.103250478,4.526126979,9.421808365,35.00763424,36286.71094,10.49920686
Dec-23,106.4,"83,553","13,284",15962439,1.59624E+15,106.7 ,2.497598463,4.667205577,9.494305576,35.0064297,33464.17188,10.41823065
Nov-23,106.9,"88,790","14,116",15943279,1.59433E+15,106.8 ,2.89017341,4.671893818,9.555098446,35.00522866,33486.89063,10.41890932
Oct-23,106.3,"86,869","13,811",15905213,1.59052E+15,107.0 ,3.381642512,4.666265285,9.533225652,35.00283822,30858.84961,10.33717885
Sep-23,107,"79,754","12,680",15918249,1.59182E+15,106.3 ,3.103782735,4.672828834,9.447771313,35.00365749,31857.61914,10.36903185
Aug-23,96.1,"73,583","11,699",15943646,1.59436E+15,105.9 ,3.216374269,4.565389316,9.367238436,35.00525168,32619.33984,10.39266064
Jul-23,105.1,"72,112","11,465",15949800,1.59498E+15,105.7 ,3.323558162,4.654912278,9.347044881,35.00563759,33172.21875,10.40946802
Jun-23,108.2,"72,085","11,461",15942425,1.59424E+15,105.3 ,3.235294118,4.683981366,9.346670394,35.0051751,33189.03906,10.40997495
May-23,96.6,"73,623","11,705",15904516,1.59045E+15,105.1 ,3.241650295,4.570578741,9.367781892,35.0027944,30887.88086,10.33811918
Apr-23,102.5,"69,431","11,039",15873481,1.58735E+15,105.0 ,3.448275862,4.629862799,9.309157869,35.00084116,28856.43945,10.27008845
Mar-23,117.3,"72,488","11,525",15681922,1.56819E+15,104.5 ,3.15893386,4.764734756,9.352245446,34.98869989,28041.48047,10.24144014
Feb-23,100.9,"72,068","11,458",15648243,1.56482E+15,104.2 ,3.270564916,4.614129927,9.346434533,34.98654994,27445.56055,10.21995971
Jan-23,93.8,"73,339","11,660",15696317,1.56963E+15,104.6 ,4.287138584,4.541164856,9.363916943,34.9896174,27327.10938,10.21563451
Dec-22,104.9,"82,540","13,123",15693481,1.56935E+15,104.1 ,3.996003996,4.653007515,9.48210744,34.98943671,26094.5,10.16947984
Nov-22,105.5,"92,419","14,693",15677345,1.56773E+15,103.8 ,3.8,4.658710953,9.595157001,34.98840798,27968.99023,10.23885168
Oct-22,105.5,"96,752","15,382",15619677,1.56197E+15,103.5 ,3.70741483,4.658710953,9.640975419,34.98472277,27587.46094,10.22511663
Sep-22,107.3,"97,463","15,495",15632476,1.56325E+15,103.1 ,2.997002997,4.67562865,9.648297234,34.98554185,25937.21094,10.16343393
Aug-22,107.8,"95,661","15,209",15649767,1.56498E+15,102.6 ,2.908726179,4.680277658,9.629635107,34.98664733,28091.5293,10.24322336
Jul-22,106.3,"99,600","15,835",15648341,1.56483E+15,102.3 ,2.60782347,4.666265285,9.66998658,34.98655621,27801.64063,10.23285031
Jun-22,105.7,"95,745","15,222",15623264,1.56233E+15,102.0 ,2.409638554,4.660604893,9.630512823,34.98495239,26393.03906,10.18085558
May-22,100.7,"87,685","13,941",15578980,1.5579E+15,101.8 ,2.517623364,4.6121458,9.542575263,34.98211387,27279.80078,10.21390181
